target,filer,ann_date,size_tier,target_1m,target_3m,target_6m,target_12m,target_18m,target_24m,SPY_1m,excess_SPY_1m,SPY_3m,excess_SPY_3m,SPY_6m,excess_SPY_6m,SPY_12m,excess_SPY_12m,SPY_18m,excess_SPY_18m,SPY_24m,excess_SPY_24m,IWM_1m,excess_IWM_1m,IWM_3m,excess_IWM_3m,IWM_6m,excess_IWM_6m,IWM_12m,excess_IWM_12m,IWM_18m,excess_IWM_18m,IWM_24m,excess_IWM_24m
PTON,Elliott,2022-05-02,large,-0.3091297439061075,-0.4276561383327797,-0.5515216324705083,-0.5285637939395396,-0.7431927357001293,-0.8171382789095709,-0.011798095998992841,-0.29733164790711464,-0.011236548677407088,-0.4164195896553726,-0.060336964185076725,-0.4911846682854316,0.0010925935277410481,-0.5296563874672806,0.044535908021707815,-0.7877286437218372,0.27263554302762016,-1.089773821937191,-0.014072434531517963,-0.2950573093745895,0.003225226712619822,-0.43088136504539953,-0.011376046283254504,-0.5401455861872538,-0.06296187375636975,-0.4656019201831698,-0.09359159568192643,-0.6496011400182029,0.11290469041022377,-0.9300429693197947
SWKS,Elliott,2022-06-01,large,-0.1505546105993103,-0.07580583788483097,-0.09735025257366114,0.004073667905545975,-0.049165070784097153,-0.10972985613655584,-0.06519484487053906,-0.08535976572877124,-0.031013845276826824,-0.04479199260800415,0.003742728552576402,-0.10109298112623755,0.06245279661363923,-0.05837912870809325,0.14813737563344653,-0.1973024464175437,0.33090069887782714,-0.440630555014383,-0.06728696812240575,-0.08326764247690455,-0.0015004001532235023,-0.07430543773160747,0.02483191471398638,-0.12218216728764753,0.0038537860355944975,0.00021988186995147707,0.0274159032822332,-0.07658097406633035,0.12918076389843436,-0.2389106200349902
PYPL,Elliott,2022-07-01,large,0.25532194200030434,0.2054620947357939,-0.00252106265777452,-0.03571437395669652,-0.17885160589908033,-0.16302529882294903,0.07034952269817918,0.18497241930212516,-0.05926124894102791,0.2647233436768218,0.0118673942051295,-0.01438845686290402,0.18131952175986554,-0.21703389571656206,0.25921817410890946,-0.4380697800079898,0.49927049057297945,-0.6622957893959285,0.09095136561935613,0.1643705763809482,-0.03288535515117552,0.23834744988696943,0.027189609394768555,-0.029710672052543075,0.10154765393549847,-0.137262027892195,0.1611182292478055,-0.33996983514688583,0.2074087054552023,-0.3704340042781513
SALM,Elliott,2023-01-03,small,0.32692312100935417,0.0192307515962582,-0.09615381529345202,-0.673076907646726,-0.75,-0.3173076878990646,0.09442773786012193,0.23249538314923224,0.07722724720092033,-0.057996495604662135,0.16321975289487756,-0.2593735681883296,0.2456855410851848,-0.9187624487319108,0.48966778520067655,-1.2396677852006766,0.6074826698561409,-0.9247903577552055,0.14371424062521276,0.1832088803841414,0.014977104480169645,0.004253647116088555,0.06091396439971852,-0.15706777969317054,0.13441799317638092,-0.8074949008231069,0.19025332997449373,-0.9402533299744937,0.329561748334555,-0.6468694362336196
CRM,Elliott,2023-01-03,large,0.29574112389041085,0.4631249341624377,0.5591333025545722,0.8640747411557108,0.9120504364262159,1.4660641182327172,0.09442773786012193,0.20131338603028892,0.07722724720092033,0.3858976869615174,0.16321975289487756,0.3959135496596946,0.2456855410851848,0.618389200070526,0.48966778520067655,0.4223826512255393,0.6074826698561409,0.8585814483765764,0.14371424062521276,0.1520268832651981,0.014977104480169645,0.4481478296822681,0.06091396439971852,0.49821933815485364,0.13441799317638092,0.7296567479793299,0.19025332997449373,0.7217971064517221,0.329561748334555,1.1365023698981622
NRG,Elliott,2023-05-01,large,-0.006176235862945911,0.12361610158510161,0.2552295216113818,1.2373084364986617,1.7011928867297228,2.5954834724663667,0.00563187431738621,-0.011808110180332121,0.10268267719720559,0.020933424387896027,0.007449124994943546,0.24778039661643825,0.22162085632881778,1.015687580169844,0.4250395925572861,1.2761532941724367,0.39333898632368136,2.2021444861426853,-0.008727937483039905,0.0025517016200939935,0.13147603795590102,-0.007859936370799403,-0.06258227435176467,0.31781179596314646,0.13523512782836122,1.1020733086703005,0.28851513198538115,1.4126777547443417,0.16363448392330304,2.431848988543064
CRM,Starboard,2022-10-03,large,0.0805950006113565,-0.08870855966085622,0.3333332286490027,0.36490863989092737,1.043978306056784,0.9542081425984827,0.048853245822015,0.03174175478934149,0.043530774639164216,-0.13223933430002044,0.12411978373399069,0.20921344491501204,0.17657772474061506,0.1883309151503123,0.4466847411734123,0.5972935648833717,0.6089856119249872,0.3452225306734955,0.08441150658913577,-0.003816505977779272,0.029003651018024712,-0.11771221067888094,0.044415146209797474,0.28891808243920525,0.02743995167518154,0.3374686882157458,0.23446805540550075,0.8095102506512832,0.33144821579936345,0.6227599267991193
NWSA,Starboard,2023-10-02,large,0.033999945382238383,0.22100008231538104,0.2923806375953102,0.3194657994169505,0.2429669184493648,0.4237838777114147,-0.02131946699895726,0.05531941238119564,0.11059009777147977,0.11040998454390127,0.22425445341516426,0.06812618418014593,0.3492602741986919,-0.029794474781741354,0.2061079765659677,0.03685894188339711,0.6123361117873372,-0.18855223407592248,-0.05486307564243276,0.08886302102467114,0.1504080799533174,0.07059200236206364,0.18980427293847413,0.10257636465683606,0.2655981119217672,0.053867687495183336,0.05938082511623066,0.18358609333313414,0.451142179299439,-0.027358301588024325
AVT,Starboard,2023-12-01,small,0.026713290803115575,0.009734505002444438,0.14858103356267227,0.20385236543857976,0.12428661924043993,0.11045433664239845,0.025246338610200425,0.0014669521929151497,0.1092055566962502,-0.09947105169380577,0.1591824524861818,-0.01060141892350952,0.3332090684813176,-0.12935670304273783,0.33112276311265076,-0.20683614387221083,0.5321525703553713,-0.4216982337129729,0.05409124047067104,-0.027377949667555468,0.10581880327485327,-0.09608429827240883,0.09904933366429125,0.04953169989838102,0.3142741377126623,-0.11042177227408256,0.16630557282595815,-0.042018953585518215,0.387990082808515,-0.27753574616611654
DIS,ThirdPoint,2022-08-01,large,0.058463568910376296,-0.0025419518361293747,0.021370598433511967,-0.18753533449795345,-0.08325818587743439,-0.15009903584331474,-0.03057645234884887,0.08904002125922517,-0.04905890946568969,0.04651695762956032,-0.0018160614535620567,0.023186659887074024,0.1137147935329419,-0.30125012803089535,0.21957606523093243,-0.3028342511083668,0.33694737197591484,-0.4870464078192296,-0.01367682822401095,0.07214039713438725,-0.016414968316492584,0.01387301648036321,0.03300830621681805,-0.011637707783306084,0.059401267340297936,-0.2469366018382514,0.07008271964377455,-0.15334090552120894,0.1499948621339271,-0.30009389797724184
