signal_type,cik,ticker,company,filed_date,first_trade_date,entry_date,resolved_ticker,has_prices,notes,ret_1m,ret_3m,ret_6m,ret_12m,ret_18m,ret_24m,excess_SPY_1m,excess_SPY_3m,excess_SPY_6m,excess_SPY_12m,excess_SPY_18m,excess_SPY_24m,excess_IWM_1m,excess_IWM_3m,excess_IWM_6m,excess_IWM_12m,excess_IWM_18m,excess_IWM_24m
activist_13d,0001611647,FRPT,"Freshpet, Inc.  (FRPT)  (CIK 0001611647)",2023-08-23,,2023-08-23,True,True,filer_cik=0001159159,-0.15606020634017415,-0.08819646809590398,0.21481389927849137,0.8331132856329955,0.41114338880308243,-0.24135198435279026,-0.1310239915308703,-0.11491897507927162,0.05979590170213078,0.5465351871629465,0.041618970978606784,-0.7397633252506779,-0.10697261684965331,-0.045464603812940596,0.12990896522396822,0.6306139810490725,0.22676768399666014,-0.5434805390069763
activist_13d,0001049521,MRCY,MERCURY SYSTEMS INC  (MRCY)  (CIK 0001049521),2023-02-03,,2023-02-03,True,True,filer_cik=0001159159,-0.05828056508059953,-0.2734841739430147,-0.30895927049455596,-0.4524886877828054,-0.38859730716204754,-0.17918554797970876,-0.024134614896505036,-0.27798223665093746,-0.410234159069767,-0.6686589545568953,-0.6736290662763683,-0.6772437782208581,-0.005079948317907479,-0.16232974863202265,-0.3016846873315071,-0.45028444444517035,-0.4347611212153156,-0.3572437059684229
activist_13d,0001448056,,"NEW RELIC, INC.  (CIK 0001448056)",2022-11-17,,2022-11-17,False,False,filer_cik=0001159159 | unresolved,,,,,,,,,,,,,,,,,,
activist_13d,0001320695,,"TreeHouse Foods, Inc.  (THS)  (CIK 0001320695)",2022-04-12,,2022-04-12,False,False,filer_cik=0001159159 | unresolved,,,,,,,,,,,,,,,,,,
activist_13d,0001724670,,Perspecta Inc.  (CIK 0001724670),2021-04-19,,2021-04-19,False,False,filer_cik=0001159159 | unresolved,,,,,,,,,,,,,,,,,,
activist_13d,0001546417,BLMN,"Bloomin' Brands, Inc.  (BLMN)  (CIK 0001546417)",2020-11-27,,2020-11-27,True,True,filer_cik=0001159159,0.058525673976883574,0.4558245497065905,0.6426562348905502,0.01800798287892591,0.20296514202246496,0.26326221606958367,0.0327511580145643,0.38840720923586325,0.47995562694833005,-0.27751990264684956,0.043883201130015426,0.1444941850837853,0.0006706401600962142,0.24949023215442456,0.3994934839620634,-0.20149840540468977,0.18316909518253977,0.25179517932295714
activist_13d,0000837465,CALY,CALLAWAY GOLF CO  (MODG)  (CIK 0000837465),2020-07-23,,2020-07-23,True,True,filer_cik=0001159159,0.022975933288710282,0.072757104690794,0.5836980128829501,0.7494528632922526,0.321662961701213,0.2024069319807993,-0.028176195483698097,0.00729413311382876,0.388344415936585,0.36695114620603975,-0.0639397961986885,-0.058337176578963756,-0.019854325712933774,-0.0063441373919057575,0.12347252411124177,0.25327688118933644,-0.028930082335381302,-0.040415223697510605
activist_13d,0000807882,JACK,JACK IN THE BOX INC /NEW/  (JACK)  (CIK 0000807882),2019-01-14,,2019-01-14,True,True,filer_cik=0001159159,0.03701408481270896,-0.03183569165328359,-0.045063045271062085,0.005000976604887297,-0.01734732410260864,0.22217120968792048,-0.03132296884429042,-0.16333302785218717,-0.2205288965069383,-0.2912333754969787,-0.3045451629219543,-0.3093302773399458,-0.04150942711383143,-0.13966628978150997,-0.14314751880990384,-0.181704800160984,-0.07244917530953365,-0.2934677989126444
activist_13d,0001609711,GDDY,GoDaddy Inc.  (GDDY)  (CIK 0001609711),2023-12-08,,2023-12-08,True,True,filer_cik=0001517137,0.0037388495712442626,0.1268335122863169,0.3431119680049619,0.9638578362390031,0.6847858269236957,0.19643376447836913,-0.03600939721094565,-0.0006661037349520171,0.1679661501576304,0.6362798851358296,0.36158779891531223,-0.32329624288649694,-0.04441542817929345,0.025863247113555143,0.259329929569974,0.6809302260962804,0.546680283013451,-0.19438776983720385
activist_13d,0001174169,AQNB,"ALGONQUIN POWER & UTILITIES CORP.  (AQN, AQNB, AGQPF)  (CIK 0001174169)",2023-10-19,,2023-10-19,True,True,filer_cik=0001517137,0.026304634869243504,0.05365192435155519,0.07356152236303415,0.14744510240323927,0.17869522991207942,0.2536856104079477,-0.030820734433490093,-0.08465954030410128,-0.10671425075006558,-0.2397043622531556,-0.12895175008401472,-0.3623387780621654,-0.031043176853359,-0.1162010783608387,-0.09186230118250438,-0.18613876998158863,0.007393544247235706,-0.24199212549850913
